created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url
Mon Jan 22 13:12:42 +0000 2024,1749419819416654154,Sekjen PKB: Putusan PN Jaksel akhiri isu keliru status hukum Muhaimin https://t.co/nLa2HYL9sW,0,0,0,0,in,307927408,1749419819416654154,IrMa_SsiAngel,https://twitter.com/IrMa_SsiAngel/status/1749419819416654154
Mon Jan 22 13:12:39 +0000 2024,1749419809727770708,Ini respons TKN Prabowo-Gibran soal Debat Cawapres semalam. Nusron Wahid menyebut candaan Gibran dalam menanggapi debat dilihat sesuai konteksnya.   Nusron juga menanggapi soal etika yang dibicarakan Muhaimin Iskandar. Apa katanya? 🤔  #SuaraPenentu | Narasi Daily https://t.co/y9TMopL5Bo,1,13,4,17,in,1158355819512991747,1749419809727770708,NarasiNewsroom,https://twitter.com/NarasiNewsroom/status/1749419809727770708
Mon Jan 22 13:12:33 +0000 2024,1749419784310296680,@Metro_TV @cakimiNOW @aniesbaswedan debat cawapres Muhaimin sangat memperlihatkan kelayakannya untuk memimpin Indonesia,0,0,0,0,in,2377794594,1749093184419078472,siscanandya,https://twitter.com/siscanandya/status/1749419784310296680
Mon Jan 22 13:12:33 +0000 2024,1749419783668568410,Isu kardus durian di tahun politik tidak lebih hanya gorengan politik yang ingin menjatuhkan nama cawapres nomor urut 1 Abdul Muhaimin Iskandar #KardusDurenGorenganPolitik @aniesbaswedan @cakimiNOW @DPP_PKB @PKBTulungagung  @fadiqwae1  @StGuminto  @AFahuda  @rofiq_jazuli https://t.co/T9OTtahBgd,0,0,0,2,in,933582340936179712,1749419783668568410,ZFaridAbrori,https://twitter.com/ZFaridAbrori/status/1749419783668568410
Mon Jan 22 13:12:02 +0000 2024,1749419652323975420,Sekjen PKB: Putusan PN Jaksel akhiri isu keliru status hukum Muhaimin https://t.co/Pw6vbSsM4Z   #KardusDurianGorenganPolitik  @aniesbaswedan @cakiminNOW,0,0,0,0,in,886577965496025088,1749419652323975420,EngkyNaisali,https://twitter.com/EngkyNaisali/status/1749419652323975420
Mon Jan 22 13:11:54 +0000 2024,1749419617599283404,Sekjen PKB: Putusan PN Jaksel akhiri isu keliru status hukum Muhaimin https://t.co/OFcshe8spL   #KardusDurenGorenganPolitik  @aniesbaswedan  @cakimiNOW,0,0,0,0,in,1641503265912397825,1749419617599283404,sbonetttt,https://twitter.com/sbonetttt/status/1749419617599283404
Mon Jan 22 13:11:44 +0000 2024,1749419575610138684,Sekjen PKB: Putusan PN Jaksel akhiri isu keliru status hukum Muhaimin #KardusDurenGorenganPolitik @aniesbaswedan @cakimiNOW  https://t.co/02Z2mFRmph,0,0,0,0,in,2689562161,1749419575610138684,joehadie_ahmad,https://twitter.com/joehadie_ahmad/status/1749419575610138684
Mon Jan 22 13:11:37 +0000 2024,1749419548972122556,Sorry ye.. Sorry yee...  isu kardus durian di tahun politik tidak lebih hanya gorengan politik yang ingin menjatuhkan nama cawapres nomor urut 1 Abdul Muhaimin Iskandar All in AMIN untuk 2024 #KardusDurenGorenganPolitik @aniesbaswedan @cakimiNOW https://t.co/HUGhEzNOgX,0,0,0,0,in,1647616707400433665,1749419548972122556,zakly_dewa,https://twitter.com/zakly_dewa/status/1749419548972122556
Mon Jan 22 13:11:34 +0000 2024,1749419535101468902,Sekjen PKB: Putusan PN Jaksel akhiri isu keliru status hukum Muhaimin https://t.co/KCXmlVvBK3,0,0,0,1,in,1699062787715260416,1749419535101468902,official56026,https://twitter.com/official56026/status/1749419535101468902
Mon Jan 22 13:11:26 +0000 2024,1749419501744197804,Sekjen PKB: Putusan PN Jaksel akhiri isu keliru status hukum Muhaimin https://t.co/aS0sNrZI1U… #KardusDurenGorenganPolitik @aniesbaswedan @cakimiNOW,0,0,2,2,in,952516140290338816,1749419501744197804,AripRahman197,https://twitter.com/AripRahman197/status/1749419501744197804
Mon Jan 22 13:11:23 +0000 2024,1749419488360145335,"@Metro_TV @cakimiNOW @aniesbaswedan dalam debat cawapres 2024, Muhaimin Cawapres yang bisa menjawab pertanyaan dengan jawaban yang memuaskan mantapp dahhh",0,0,0,0,in,2377794594,1749093184419078472,siscanandya,https://twitter.com/siscanandya/status/1749419488360145335
Mon Jan 22 13:11:21 +0000 2024,1749419482060370202,Sekjen PKB: Putusan PN Jaksel akhiri isu keliru status hukum Muhaimin https://t.co/h2xQ3Hgdi6 Wis jelas dan terang benderang dlm putusan PN Jaksel #KardusDurenGorenganPolitik,0,0,0,0,in,752923027625512960,1749419482060370202,EfendiMashor,https://twitter.com/EfendiMashor/status/1749419482060370202
Mon Jan 22 13:11:18 +0000 2024,1749419469901005227,Sekjen PKB: Putusan PN Jaksel akhiri isu keliru status hukum Muhaimin https://t.co/uKgGqV2kKo,0,0,0,0,in,1691316310494593024,1749419469901005227,rifcky07,https://twitter.com/rifcky07/status/1749419469901005227
