created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url
Sun Feb 04 14:09:10 +0000 2024,1754145071904284902,@dayatpiliang Kok aku jadi pengen pak prabowo emosi,0,0,0,0,in,1731528252962058240,1754119425064898710,arivrahman79,https://twitter.com/arivrahman79/status/1754145071904284902
Sun Feb 04 14:09:09 +0000 2024,1754145070784410029,"Demi Allah ini setiap apapun pertanyaan nya, jawaban prabowo makan gizi mulu anjir 😭 Ini kalo perempuan kena kekerasan sexual di suruh makan bergizi sambil bonyok2 😭😭 #debatcapres2024",0,1,0,3,in,1438683821927399429,1754145070784410029,reveriebae,https://twitter.com/reveriebae/status/1754145070784410029
Sun Feb 04 14:09:09 +0000 2024,1754145070432080357,kok pak anies gak menghela napas sih denger jawaban pak prabowo sumpah dehhhhh nggak nyambungghh sama persentase mahasiswi😭,0,0,0,0,in,1657366952711716864,1754145070432080357,naeou,https://twitter.com/naeou/status/1754145070432080357
Sun Feb 04 14:09:09 +0000 2024,1754145068850848054,prabowo lieur ihh jawabanna😭,0,0,0,0,in,1530522842135429120,1754145068850848054,zacxy_b,https://twitter.com/zacxy_b/status/1754145068850848054
Sun Feb 04 14:09:09 +0000 2024,1754145068435570968,"Starting dari pak Prabowo, beliau surprisingly BANYAK memberikan janji, aku speechless, tpi bukan hal yang buruk. 1 atau 2 3 janji ga masalah, tpi kalo kebanyakan orang bakal mikir dari mana?"" Itu bakal jdi sngt concerning, nebar janji tanpa ada pengukuran bakal tercapai justru-""",0,1,0,0,in,1522539563649945601,1754145063347827181,11n4ei,https://twitter.com/11n4ei/status/1754145068435570968
Sun Feb 04 14:09:09 +0000 2024,1754145068037128320,Angle pertamyaan soal #perempuan boleh juga pilihannya.. pak @prabowo kurang menjawab ni #DebatCapresTerakhir,0,0,0,0,in,1557966522685231104,1754145068037128320,sebening_cinta,https://twitter.com/sebening_cinta/status/1754145068037128320
Sun Feb 04 14:09:08 +0000 2024,1754145066057421128,"Anies merespon hal yang luput dalam pernyataan Prabowo. Pertama adalah perlindungan perempuan, hal ini tidak bisa dianggap isu kecil, sehigga perlu dilakukan dengan tegas. Kedua adalah kesetaraan, dan ketiga adalah kesejahteraan. Perempuan perlu mendapat upah yang sama dengan…",0,1,0,1,in,214818815,1754090599928705314,nu_online,https://twitter.com/nu_online/status/1754145066057421128
Sun Feb 04 14:09:08 +0000 2024,1754145065692479840,Mending fokus ke kesehatan daripada terus-terusan ambisi jadi presiden dengan tubuh kayak gini @sk4ther_ ASAL BUKAN PRABOWO #WaktunyaPrabowoGibran #debatcapres2024 https://t.co/L73ARwItOe https://t.co/eo87TDk4aJ,0,0,0,0,in,1713518883687272448,1754145065692479840,Tikatergantungg,https://twitter.com/Tikatergantungg/status/1754145065692479840
Sun Feb 04 14:09:08 +0000 2024,1754145065533071620,Pak Prabowo nih gak paham isu2 perempuan deh,0,0,0,0,in,72540384,1754145065533071620,_amuzt,https://twitter.com/_amuzt/status/1754145065533071620
Sun Feb 04 14:09:08 +0000 2024,1754145064987869214,@TeddGus @aniesbaswedan @cakimiNOW @prabowo @gibran_tweet @ganjarpranowo @mohmahfudmd Debat malam ini 01 👍 02😭 03👍,0,0,0,0,in,942461039823564800,1754057848806645967,AprillioHadi,https://twitter.com/AprillioHadi/status/1754145064987869214
